city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
cawang,jawa tengah,indonesia,-7.5056,110.2044,0,,2415,magelang central java msa
surrey hills,victoria,australia,-37.81667,145.1,13268,,33,melbourne-reservoir-craigieburn victoria msa
lyons,illinois,united states,41.81337,-87.81811,10722,Chicago-Naperville-Joliet IL-IN-WI MSA,295,chicago-milwaukee-aurora illinois-wisconsin msa
wildwood,missouri,united states,38.58283,-90.6629,35899,St. Louis MO-IL MSA,17,st louis-o fallon-st charles missouri msa
suleja,niger,nigeria,9.18059,7.17939,162135,,3367,suleja niger msa
turbigo,lombardy,italy,45.53076,8.73671,7268,,22,milan-verona-padova lombardy-veneto msa
kastrup,hovedstaden,denmark,55.6352,12.6489,0,,107,copenhagen-frederiksberg capital region msa
mayfield,new south wales,australia,-32.89793,151.73613,9218,,318,newcastle-maitland new south wales msa
colle di val d elsa,tuscany,italy,43.42107,11.12739,16625,,459,florence-prato-la spezia tuscany-liguria msa
eastbourne,wellington,new zealand,-41.3,174.9,2810,,3371,wellington-lower hutt-porirua wellington msa
hornu,wallonia,belgium,50.4328,3.82736,8793,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
wilp,gelderland,netherlands,52.21833,6.15,970,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
niedernberg,bavaria,germany,49.91222,9.13694,4793,,155,frankfurt-frankfurt am main-stuttgart hesse-baden wurttemberg msa
lane cove west,new south wales,australia,-33.81613,151.15145,2619,,12,sydney new south wales msa
rosbach vor der hohe,hesse,germany,50.30332,8.68976,11741,,155,frankfurt-frankfurt am main-stuttgart hesse-baden wurttemberg msa
douvrin,hauts de france,france,50.50916,2.83053,5199,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
chetumal,quintana roo,mexico,18.51413,-88.30381,151243,,3374,chetumal quintana roo msa
martinsicuro,abruzzo,italy,42.88031,13.91326,10317,,134,pescara abruzzo msa
andria,apulia,italy,41.23117,16.29797,98342,,145,bari-andria-barletta puglia-apulia msa
le bardo,tunis,tunisia,36.8092,10.1406,73953,,1182,gouvernorat de tunis-tunis-ariana tunis-ariana msa
barangaroo,new south wales,australia,-33.86031,151.20161,193,,12,sydney new south wales msa
wattens,tyrol,austria,47.29419,11.5907,7881,,2174,innsbruck tyrol msa
aubergenville,ile de france,france,48.95996,1.85467,11934,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
morro da fumaca,santa catarina,brazil,-28.65083,-49.21,13951,,3377,criciuma-icara santa catarina msa
saint germain les corbeil,ile de france,france,48.62211,2.48775,7481,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
grottaferrata,lazio,italy,41.78664,12.67144,18144,,787,rome lazio msa
łomza,podlasie,poland,53.17806,22.05935,63723,,3380,łomza podlasie msa
lengerich,north rhine westphalia,germany,52.18661,7.86043,22697,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
gaillon,normandy,france,49.16104,1.34016,6818,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
knurow,silesia,poland,50.21971,18.65067,39744,,5,krakow-katowice-ostrava lesser poland-silesia-moravskoslezsky msa
naninne,wallonia,belgium,50.41888,4.92634,1634,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
la crau,provence alpes cote d azur,france,43.14962,6.07399,17905,,47,marseille-toulon-aix en provence provence alpes cote d azur msa
narellan,new south wales,australia,-34.04338,150.73236,3583,,12,sydney new south wales msa
eltham,england,united kingdom,51.45061,0.05225,48964,,18,london-manchester-birstall england-manchester-leicester msa
avila beach,california,united states,35.17998,-120.73184,1627,San Luis Obispo-Paso Robles CA MSA,239,santa maria california msa
crespellano,emilia romagna,italy,44.51196,11.13224,4438,,647,reggio emilia-modena-parma emilia romagna msa
peer,flanders,belgium,51.1303,5.45952,15551,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
zyrardow,mazovia,poland,52.0488,20.44599,41179,,1216,warsaw-pruszkow-legionowo mazovia msa
rubano,veneto,italy,45.42514,11.79146,3434,,22,milan-verona-padova lombardy-veneto msa
albino,lombardy,italy,45.76444,9.79904,13263,,22,milan-verona-padova lombardy-veneto msa
locorotondo,apulia,italy,40.75661,17.32392,7471,,145,bari-andria-barletta puglia-apulia msa
tervuren,flanders,belgium,50.82372,4.51418,20623,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
berre l etang,provence alpes cote d azur,france,43.47809,5.17044,14062,,47,marseille-toulon-aix en provence provence alpes cote d azur msa
vazzola,veneto,italy,45.83511,12.40851,5283,,22,milan-verona-padova lombardy-veneto msa
veggiano,veneto,italy,45.44719,11.7128,2126,,22,milan-verona-padova lombardy-veneto msa
sampit,central kalimantan,indonesia,-2.5315,112.9496,66053,,3389,sampit central kalimantan msa
menton,provence alpes cote d azur,france,43.77649,7.50435,29649,,179,nice-antibes-cannes provence alpes cote d azur msa
castelletto sopra ticino,piedmont,italy,45.72002,8.63362,9213,,22,milan-verona-padova lombardy-veneto msa
kwai chung,tsuen wan,china,22.36828,114.13877,331600,,84,shenzhen-hong kong-kowloon guangdong-central and western-kowloon city msa
redland bay,queensland,australia,-27.6113,153.30022,14626,,122,brisbane-gold coast-logan city queensland msa
ratoma,conakry,guinea,9.5833,-13.65,0,,3391,conakry conakry msa
konstantynow łodzki,łodz voivodeship,poland,51.74776,19.32564,17415,,3392,łodz-lodz-pabianice łodz voivodeship-lodzkie msa
gourock,scotland,united kingdom,55.96157,-4.81789,10570,,10,glasgow-edinburgh-dundee scotland msa
arradon,brittany,france,47.62616,-2.82288,5206,,385,nantes-rennes-angers pays de la loire-brittany msa
san martin de la vega,madrid,spain,40.20735,-3.57063,18256,,370,madrid-latina-carabanchel madrid msa
rivarolo canavese,piedmont,italy,45.32829,7.7211,10978,,331,turin piedmont msa
giessen,north brabant,netherlands,51.79,5.03056,1640,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
borgo valsugana,trentino alto adige,italy,46.05119,11.45756,6587,,310,trento trentino alto adige msa
greenhithe,england,united kingdom,51.45026,0.28539,6567,,18,london-manchester-birstall england-manchester-leicester msa
galliera veneta,veneto,italy,45.6675,11.82217,6729,,22,milan-verona-padova lombardy-veneto msa
ifs,normandy,france,49.14,-0.34899,9617,,1254,le havre-caen normandy msa
cooper city,florida,united states,26.05731,-80.27172,35364,,817,miami-hialeah-fort lauderdale florida msa
grobenzell,bavaria,germany,48.2,11.36667,19110,,1685,munich bavaria msa
bella vista,buenos aires,argentina,-34.5333,-58.6667,72000,,158,buenos aires-lanus-florencio varela buenos aires f d-buenos aires msa
le boulou,occitanie,france,42.52424,2.83336,4952,,2525,perpignan occitanie msa
romano di lombardia,lombardy,italy,45.52081,9.7544,17549,,22,milan-verona-padova lombardy-veneto msa
schelluinen,south holland,netherlands,51.84333,4.92639,1255,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
tumbes,tumbes,peru,-3.83333,-80.5,191713,,3403,tumbes tumbes msa
genas,auvergne rhone alpes,france,45.73131,5.00211,12878,,136,lyon-saint etienne-villeurbanne auvergne rhone alpes msa
brooklyn heights,new york,united states,40.69538,-73.99375,20256,,0,new york city-brooklyn-queens new york msa
le cellier,pays de la loire,france,47.31964,-1.34716,3596,,385,nantes-rennes-angers pays de la loire-brittany msa
wanroij,north brabant,netherlands,51.6575,5.81806,2340,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
kadoma,mashonaland west,zimbabwe,-18.33328,29.91534,79174,,3405,kadoma mashonaland west msa
nußloch,baden wurttemberg,germany,49.32389,8.69556,10815,,155,frankfurt-frankfurt am main-stuttgart hesse-baden wurttemberg msa
les essarts le roi,ile de france,france,48.71673,1.90089,6213,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
santeramo in colle,apulia,italy,40.79236,16.75873,24922,,145,bari-andria-barletta puglia-apulia msa
san joaquin,region metropolitana,chile,-33.5,-70.6167,94492,,39,santiago-santiago-puente alto region metropolitana-santiago metropolitan msa
gullegem,flanders,belgium,50.84301,3.20466,8888,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
renaca,valparaiso,chile,-32.983,-71.5437,0,,1147,vina del mar-valparaiso-quilpue valparaiso msa
mascoutah,illinois,united states,38.49033,-89.79315,7975,St. Louis MO-IL MSA,17,st louis-o fallon-st charles missouri msa
pont a mousson,grand est,france,48.90702,6.05635,15411,,1284,nancy grand est msa
vineland,ontario,canada,43.15132,-79.39449,4074,,324,buffalo-st catharines-amherst new york-ontario msa
boedo,buenos aires f d,argentina,-34.63333,-58.41667,48231,,158,buenos aires-lanus-florencio varela buenos aires f d-buenos aires msa
hersham,surrey,united kingdom,51.3681,-0.4008,12414,,18,london-manchester-birstall england-manchester-leicester msa
racconigi,piedmont,italy,44.76598,7.67893,9156,,331,turin piedmont msa
polignano a mare,apulia,italy,40.99221,17.22149,13356,,145,bari-andria-barletta puglia-apulia msa
ootmarsum,overijssel,netherlands,52.40833,6.90139,4450,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
zihuatanejo,guerrero,mexico,17.6444,-101.5511,104609,,3418,zihuatanejo guerrero msa
kraaifontein,western cape,south africa,-33.84808,18.71723,57911,,461,cape town-kraaifontein western cape msa
taunggyi,shan,myanmar,20.78919,97.03776,160115,,3421,taunggyi shan msa
princeton,massachusetts,united states,42.4487,-71.8773,3412,Worcester MA MSA,79,boston-south boston-worcester massachusetts msa
wazirabad,punjab,pakistan,32.44324,74.12,102444,,3423,wazirabad punjab msa
bretignolles sur mer,pays de la loire,france,46.62774,-1.85675,3293,,385,nantes-rennes-angers pays de la loire-brittany msa
woudenberg,utrecht,netherlands,52.08083,5.41667,11305,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
herston,queensland,australia,-27.44453,153.01852,2963,,122,brisbane-gold coast-logan city queensland msa
linselles,hauts de france,france,50.73708,3.07878,8049,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
rosheim,grand est,france,48.4971,7.47105,4807,,166,strasbourg-saarbrucken-offenburg grand est-saarland-baden wurttemberg msa
le mesnil saint denis,ile de france,france,48.74485,1.95594,6915,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
salt,catalonia,spain,41.97489,2.79281,29985,,326,girona catalonia msa
salo,lombardy,italy,45.60685,10.5205,8165,,22,milan-verona-padova lombardy-veneto msa
verson,normandy,france,49.15432,-0.45628,3763,,1254,le havre-caen normandy msa
crest,auvergne rhone alpes,france,44.72639,5.01517,8517,,303,montpellier-nimes-avignon occitanie-provence alpes cote d azur msa
jeypore,odisha,india,18.8563,82.5716,80837,,3425,jeypore odisha msa
limena,veneto,italy,45.46948,11.84574,5448,,22,milan-verona-padova lombardy-veneto msa
ishøj,capital region,denmark,55.61543,12.35182,19453,,107,copenhagen-frederiksberg capital region msa
olgiate comasco,lombardy,italy,45.78436,8.96816,10733,,22,milan-verona-padova lombardy-veneto msa
unley,south australia,australia,-34.95,138.6,3929,,205,adelaide-adelaide hills south australia msa
trouville sur mer,normandy,france,49.3657,0.08041,5751,,1254,le havre-caen normandy msa
oggiono,lombardy,italy,45.79133,9.34815,8177,,22,milan-verona-padova lombardy-veneto msa
codroipo,friuli venezia giulia,italy,45.96469,12.97985,12811,,22,milan-verona-padova lombardy-veneto msa
vaujours,ile de france,france,48.93022,2.5711,5922,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
beyrouth,beyrouth,lebanon,33.88333,35.5,2500000,,100,beyrouth-beirut-jounieh beyrouth-mont liban msa
montreal est,quebec,canada,45.63202,-73.5075,3850,,50,montreal-laval-longueuil quebec msa
lamia,central greece,greece,38.9,22.43333,52006,,3430,lamia central greece msa
pont saint esprit,occitanie,france,44.25656,4.6478,10002,,303,montpellier-nimes-avignon occitanie-provence alpes cote d azur msa
abybro,north denmark,denmark,57.16249,9.72996,4849,,81,aalborg north denmark msa
binjai,north sumatra,indonesia,3.6001,98.4854,228763,,3434,binjai north sumatra msa
carpiquet,normandy,france,49.18522,-0.44623,2040,,1254,le havre-caen normandy msa
warriewood,new south wales,australia,-33.68857,151.29534,7265,,12,sydney new south wales msa
ascot,queensland,australia,-27.43154,153.058,5773,,122,brisbane-gold coast-logan city queensland msa
buddh gaya,bihar,india,24.69808,84.9869,35188,,3435,gaya bihar msa
botany,new south wales,australia,-33.94599,151.19591,10732,,12,sydney new south wales msa
westwood,england,united kingdom,51.33462,-2.27975,1162,,18,london-manchester-birstall england-manchester-leicester msa
hafr al batin,ash sharqiyah,saudi arabia,28.4337,45.9601,249194,,3438,hafar al batin-hafr al batin eastern province-ash sharqiyah msa
flinders,new south wales,australia,-34.58333,150.85516,6558,,357,wollongong new south wales msa
hazerswoude rijndijk,zuid holland,netherlands,52.1292,4.5931,0,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
fucecchio,tuscany,italy,43.73292,10.79749,14479,,459,florence-prato-la spezia tuscany-liguria msa
jordanstown,northern ireland,united kingdom,54.68333,-5.9,5494,,1244,belfast-lisburn-newtownabbey northern ireland msa
clevedon,auckland,new zealand,-37.0,175.05,1515,,111,auckland-manukau city-north shore auckland msa
newstead,queensland,australia,-27.45314,153.04183,2163,,122,brisbane-gold coast-logan city queensland msa
deurle,flanders,belgium,51.00411,3.61475,2454,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
rondebosch,western cape,south africa,-33.96333,18.47639,15158,,461,cape town-kraaifontein western cape msa
villa guardia,lombardy,italy,45.77505,9.02321,7483,,22,milan-verona-padova lombardy-veneto msa
grubbenvorst,limburg,netherlands,51.4189,6.1431,6960,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
castiglione olona,lombardy,italy,45.75256,8.87278,7119,,22,milan-verona-padova lombardy-veneto msa
palazzolo sull oglio,lombardy,italy,45.59665,9.88688,17973,,22,milan-verona-padova lombardy-veneto msa
changzhi,shanxi,china,36.18389,113.10528,1214940,,3448,changzhi shanxi msa
boncourt,jura,switzerland,47.49493,7.01297,1304,,957,belfort bourgogne franche comte msa
tangua,rio de janeiro,brazil,-22.73028,-42.71417,23740,,2643,itaborai rio de janeiro msa
sunningdale,windsor and maidenhead,united kingdom,51.398,-0.626,4875,,18,london-manchester-birstall england-manchester-leicester msa
markt schwaben,bavaria,germany,48.18949,11.8691,10857,,1685,munich bavaria msa
mont saint martin,grand est,france,49.54363,5.78337,8509,,355,metz grand est msa
sparrows point,maryland,united states,39.2193,-76.4761,0,Baltimore-Towson MD MSA,0,new york city-brooklyn-queens new york msa
maarheeze,north brabant,netherlands,51.31167,5.61667,4715,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
saint saulve,hauts de france,france,50.37141,3.55612,11303,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
carnac,brittany,france,47.58433,-3.07872,4777,,385,nantes-rennes-angers pays de la loire-brittany msa
bruckmuhl,bavaria,germany,47.87859,11.91098,15851,,602,rosenheim bavaria msa
steenokkerzeel,flanders,belgium,50.91851,4.50989,10566,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
barracas,buenos aires f d,argentina,-34.64966,-58.38341,77474,,158,buenos aires-lanus-florencio varela buenos aires f d-buenos aires msa
sevastopol,sevastopol city,ukraine,44.60795,33.52134,464349,,3461,sevastopol sevastopol city msa
airport west,victoria,australia,-37.7247,144.88126,7452,,33,melbourne-reservoir-craigieburn victoria msa
ogunquit,maine,united states,43.24898,-70.59922,1275,Portland-South Portland-Biddeford ME MSA,79,boston-south boston-worcester massachusetts msa
coopersville,michigan,united states,43.06391,-85.93477,4351,Holland-Grand Haven MI MSA,513,grand rapids-wyoming-kentwood michigan msa
pompei,campania,italy,40.74574,14.49698,23902,,106,naples-salerno-torre del greco campania msa
zwammerdam,zuid holland,netherlands,52.1058,4.7272,2922,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
getxo,basque country,spain,43.35689,-3.01146,80770,,234,bilbao-barakaldo-getxo basque country msa
cuarte de huerva,aragon,spain,41.59466,-0.93268,2913,,3472,zaragoza aragon msa
heiloo,north holland,netherlands,52.60252,4.68815,20510,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
mosbach,baden wurttemberg,germany,49.35357,9.15106,25106,,155,frankfurt-frankfurt am main-stuttgart hesse-baden wurttemberg msa
esbeek,north brabant,netherlands,51.46167,5.1375,825,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
tukwila,washington,united states,47.47399,-122.26096,20018,,242,seattle-tacoma-bellevue washington msa
grootegast,groningen,netherlands,53.2125,6.27361,3350,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
le pouliguen,pays de la loire,france,47.27187,-2.43319,5438,,385,nantes-rennes-angers pays de la loire-brittany msa
dalby,skane,sweden,55.66655,13.34976,6302,,348,lund skane msa
cabourg,normandy,france,49.2911,-0.1133,3686,,1254,le havre-caen normandy msa
cesson,ile de france,france,48.56204,2.60816,7557,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
tortoreto,abruzzo,italy,42.80371,13.91346,839,,134,pescara abruzzo msa
novate milanese,lombardy,italy,45.5305,9.13954,19758,,22,milan-verona-padova lombardy-veneto msa
panadura,western,sri lanka,6.7132,79.9026,33735,,451,colombo-dehiwala mount lavinia-maharagama western msa
haute goulaine,pays de la loire,france,47.19904,-1.43012,5290,,385,nantes-rennes-angers pays de la loire-brittany msa
egerkingen,solothurn,switzerland,47.31957,7.78424,2923,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
pinetown,kwazulu natal,south africa,-29.82068,30.88674,144026,,433,durban-pinetown-mpumalanga kwazulu natal msa
lehigh,pennsylvania,united states,40.7679,-75.5394,10411,Allentown-Bethlehem-Easton PA-NJ MSA,0,new york city-brooklyn-queens new york msa
fijnaart,north brabant,netherlands,51.6375,4.46944,4855,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
moudon,vaud,switzerland,46.66758,6.79781,4343,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
heeze,north brabant,netherlands,51.3828,5.57145,9110,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
waratah,new south wales,australia,-32.90667,151.72647,4679,,318,newcastle-maitland new south wales msa
kunheim,grand est,france,48.07657,7.53489,1719,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
holmes chapel,england,united kingdom,53.2014,-2.35742,5605,,18,london-manchester-birstall england-manchester-leicester msa
lille,flanders,belgium,51.24197,4.82313,15466,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
saint nolff,brittany,france,47.70393,-2.65182,3571,,385,nantes-rennes-angers pays de la loire-brittany msa
sommieres,occitanie,france,43.78457,4.09,4003,,303,montpellier-nimes-avignon occitanie-provence alpes cote d azur msa
harefield,england,united kingdom,51.60333,-0.48546,6573,,18,london-manchester-birstall england-manchester-leicester msa
albany creek,queensland,australia,-27.35364,152.96848,15532,,122,brisbane-gold coast-logan city queensland msa
leioa,basque country,spain,43.32686,-2.98884,31197,,234,bilbao-barakaldo-getxo basque country msa
plescop,brittany,france,47.69803,-2.80633,4275,,385,nantes-rennes-angers pays de la loire-brittany msa
maurepas,ile de france,france,48.76486,1.92923,19009,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
carmaux,occitanie,france,44.04963,2.1581,10413,,443,albi occitanie msa
santes,hauts de france,france,50.59316,2.96289,5069,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
fawley,england,united kingdom,51.57643,-0.91041,258,,18,london-manchester-birstall england-manchester-leicester msa
les epesses,pays de la loire,france,46.88287,-0.90011,2255,,385,nantes-rennes-angers pays de la loire-brittany msa
necochea,buenos aires,argentina,-38.5545,-58.73961,80478,,3482,necochea buenos aires msa
zulte,flanders,belgium,50.91954,3.44859,14670,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
qiqihar,heilongjiang,china,47.33922,123.96154,882364,,3484,qiqihar heilongjiang msa
tubbergen,overijssel,netherlands,52.4075,6.78472,20334,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
mirano,veneto,italy,45.49458,12.10775,15139,,22,milan-verona-padova lombardy-veneto msa
sasebo,nagasaki,japan,33.16834,129.72502,237444,,3486,sasebo nagasaki msa
lemmer,friesland,netherlands,52.84618,5.70912,10050,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
valley city,ohio,united states,41.2354,-81.9357,520,Cleveland-Elyria-Mentor OH MSA,1,cleveland-akron-parma ohio msa
hedehusene,capital region,denmark,55.64951,12.19827,12874,,107,copenhagen-frederiksberg capital region msa
granadero baigorria,santa fe,argentina,-32.85683,-60.71754,32427,,3252,rosario-gobernador galvez santa fe msa
richmond,tasman,new zealand,-41.33333,173.18333,14000,,3491,nelson nelson msa
labarthe sur leze,occitanie,france,43.45238,1.39973,5208,,1239,toulouse-montauban occitanie msa
beesd,gelderland,netherlands,51.8875,5.19167,2980,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
pernis,south holland,netherlands,51.88833,4.38889,4785,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
schafisheim,aargau,switzerland,47.37664,8.14263,2758,,11,zurich-freiburg-geneva zurich-baden wurttemberg-geneve msa
feucherolles,ile de france,france,48.87002,1.97402,2976,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
punta umbria,andalusia,spain,37.18213,-6.96605,14708,,2935,huelva andalusia msa
hampton,victoria,australia,-37.95,145.0,12482,,33,melbourne-reservoir-craigieburn victoria msa
westerbroek,groningen,netherlands,53.18417,6.6875,370,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
osnago,lombardy,italy,45.67548,9.39192,4483,,22,milan-verona-padova lombardy-veneto msa
taden,brittany,france,48.47511,-2.01976,1909,,420,saint malo brittany msa
saint ave,brittany,france,47.6865,-2.7349,8907,,385,nantes-rennes-angers pays de la loire-brittany msa
coubert,ile de france,france,48.67186,2.69733,1459,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
chippendale,new south wales,australia,-33.88673,151.19745,8936,,12,sydney new south wales msa
saint paul trois chateaux,auvergne rhone alpes,france,44.34594,4.76356,8028,,303,montpellier-nimes-avignon occitanie-provence alpes cote d azur msa
jbail,mont liban,lebanon,34.12111,35.64806,20784,,100,beyrouth-beirut-jounieh beyrouth-mont liban msa
cabimas,zulia,venezuela,10.39907,-71.45206,291147,,3498,cabimas zulia msa
amay,wallonia,belgium,50.54829,5.30974,13307,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
hayling island,england,united kingdom,50.7838,-0.96869,16887,,18,london-manchester-birstall england-manchester-leicester msa
swabi,khyber pakhtunkhwa,pakistan,34.12018,72.46982,97363,,3500,swabi khyber pakhtunkhwa msa
ozorkow,łodz voivodeship,poland,51.96336,19.29139,20608,,3392,łodz-lodz-pabianice łodz voivodeship-lodzkie msa
arrecife,canary islands,spain,28.96302,-13.54769,59127,,3503,arrecife canary islands msa
jemappes,wallonia,belgium,50.44914,3.89096,10809,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
saint andre,reunion,reunion,-20.96333,55.65031,48674,,230,saint denis-saint paul reunion msa
wulfrath,north rhine westphalia,germany,51.28195,7.03821,21003,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
vega alta,vega alta,puerto rico,18.41217,-66.33128,12036,,1466,san juan-bayamon-carolina san juan-bayamon-carolina msa
bergkirchen,bavaria,germany,48.25671,11.36488,6955,,1685,munich bavaria msa
gieres,auvergne rhone alpes,france,45.17997,5.78935,6299,,1183,grenoble auvergne rhone alpes msa
greensborough,victoria,australia,-37.70462,145.10302,20407,,33,melbourne-reservoir-craigieburn victoria msa
abbotsford,victoria,australia,-37.8,145.0,8087,,33,melbourne-reservoir-craigieburn victoria msa
lentate sul seveso,lombardy,italy,45.67637,9.11774,10981,,22,milan-verona-padova lombardy-veneto msa
malgrat de mar,catalonia,spain,41.64662,2.74135,18472,,220,barcelona-l hospitalet de llobregat-tarrasa catalonia msa
castellammare di stabia,campania,italy,40.70211,14.48685,65730,,106,naples-salerno-torre del greco campania msa
espergærde,capital region,denmark,55.99464,12.54733,11358,,107,copenhagen-frederiksberg capital region msa
temple terrace,florida,united states,28.0353,-82.38926,25731,,1026,tampa-brandon-riverview florida msa
ennery,ile de france,france,49.07505,2.10599,2170,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
celra,catalonia,spain,42.03333,2.88333,3372,,326,girona catalonia msa
l isle jourdain,occitanie,france,43.6122,1.0866,8729,,1239,toulouse-montauban occitanie msa
matamoros,coahuila,mexico,25.52699,-103.2285,52233,,3514,matamoros coahuila msa
gistel,flanders,belgium,51.15612,2.96387,11084,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
miribel,auvergne rhone alpes,france,45.8258,4.9544,9282,,136,lyon-saint etienne-villeurbanne auvergne rhone alpes msa
hadsund,north denmark,denmark,56.71482,10.11682,5066,,81,aalborg north denmark msa
castanheira do ribatejo,lisbon,portugal,38.99298,-8.97346,7651,,46,lisbon-sintra-amadora lisbon-lisboa msa
dulmen,north rhine westphalia,germany,51.83149,7.28075,47495,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
beihai,guangxi,china,21.48349,109.11549,525329,,3515,beihai guangxi msa
casalgrande,emilia romagna,italy,44.58466,10.7355,7451,,647,reggio emilia-modena-parma emilia romagna msa
bauan,calabarzon,philippines,13.7917,121.0085,33560,,3516,batangas calabarzon msa
longueil sainte marie,hauts de france,france,49.35723,2.71844,1516,,72,rouen-cergy pontoise-saint quentin en yvelines normandie-ile de france msa
neston,england,united kingdom,53.28333,-3.05,15064,,18,london-manchester-birstall england-manchester-leicester msa
arandas,jalisco,mexico,20.70519,-102.34635,52175,,3517,arandas jalisco msa
sakakah,al jawf region,saudi arabia,29.96974,40.20641,128332,,3519,sakaka-sakakah al jawf-al jawf region msa
tambaram,tamil nadu,india,12.9246,80.12707,174787,,2476,chennai-ambattur-avadi tamil nadu msa
ekeren,flanders,belgium,51.28087,4.41813,23300,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
thenkasi,tamil nadu,india,8.96003,77.31525,65496,,3521,thenkasi tamil nadu msa
fort wright,kentucky,united states,39.05173,-84.53411,5781,,153,cincinnati-dayton-hamilton ohio msa
samarate,lombardy,italy,45.6241,8.78507,14172,,22,milan-verona-padova lombardy-veneto msa
vladimir,vladimir,russia,56.13655,40.39658,310024,,3524,vladimir vladimir msa
perth airport,western australia,australia,-31.93211,115.95636,30,,139,perth-rockingham western australia msa
teignmouth,england,united kingdom,50.54581,-3.49671,17463,,18,london-manchester-birstall england-manchester-leicester msa
shevchenko,mangghystau,kazakhstan,43.64806,51.17222,147443,,3525,mangghystau-shevchenko mangghystau msa
creech,arkansas,united states,36.2265,-94.0355,0,,2071,fayetteville-springdale-rogers arkansas msa
mandello del lario,lombardy,italy,45.92199,9.31974,10255,,22,milan-verona-padova lombardy-veneto msa
bentivoglio,emilia romagna,italy,44.6369,11.41737,1234,,647,reggio emilia-modena-parma emilia romagna msa
plan de cuques,provence alpes cote d azur,france,43.34753,5.46398,11125,,47,marseille-toulon-aix en provence provence alpes cote d azur msa
franklin,new jersey,united states,41.12204,-74.58044,4855,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
uppal kalan,telangana,india,17.40577,78.55911,118259,,1509,hyderabad-kukatpalli-secunderabad telangana msa
victoria point,queensland,australia,-27.58329,153.31172,14669,,122,brisbane-gold coast-logan city queensland msa
camisano vicentino,veneto,italy,45.52156,11.70817,8244,,22,milan-verona-padova lombardy-veneto msa
les arcs,provence alpes cote d azur,france,43.46328,6.47876,5910,,238,frejus provence alpes cote d azur msa
brixham,england,united kingdom,50.39431,-3.51585,16693,,18,london-manchester-birstall england-manchester-leicester msa
