,city,state,country,latitude,longitude,population,msa
3503,vandalia,illinois,united states,38.9606,-89.09368,7112,IL NONMETROPOLITAN AREA
3504,weare,new hampshire,united states,43.0948,-71.73063,8583,Manchester-Nashua NH MSA
3505,colerain,ohio,united states,40.1259,-80.8087,0,Wheeling WV-OH MSA
3506,the college of new jersey,new jersey,united states,40.2688,-74.7765,0,
3507,moura,queensland,australia,-24.5722,149.96729,2226,
3509,oldwick,new jersey,united states,40.6701,-74.7443,0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3510,benthuizen,south holland,netherlands,52.0775,4.54444,18959,
3511,susteren,limburg,netherlands,51.065,5.8556,0,
3512,uznach,saint gallen,switzerland,47.22421,8.98263,5561,
3513,root,lucerne,switzerland,47.11458,8.39021,3886,
3515,oostduinkerke,flanders,belgium,51.11565,2.68217,8534,
3517,west saint paul,minnesota,united states,44.91608,-93.10161,19540,Minneapolis-St. Paul-Bloomington MN-WI MSA
3518,regente feijo,sao paulo,brazil,-22.22139,-51.30278,17218,
3519,buftea,ilfov,romania,44.56139,25.94889,20691,
3520,glattpark,zurich,switzerland,47.4213,8.5629,0,
3522,shenandoah,iowa,united states,40.76555,-95.37221,5021,IA NONMETROPOLITAN AREA
3523,mahwah,rajasthan,india,27.04594,76.93152,22624,
3525,upton,new york,united states,40.8695,-72.8868,0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3526,amelia,umbria,italy,42.55177,12.42076,5537,
3528,camp springs,maryland,united states,38.804,-76.90664,19096,
3529,victoria,minnesota,united states,44.85857,-93.66163,8676,Minneapolis-St. Paul-Bloomington MN-WI MSA
3530,thornton,sefton,united kingdom,53.5015,-3.0009,2139,Denver-Aurora CO MSA
3532,blackwood,caerphilly,united kingdom,51.67,-3.19,8496,
3533,caulfield,victoria,australia,-37.88251,145.02288,5731,
3535,waikiki,hawaii,united states,21.2797,-157.8268,0,
3536,mcconnell afb,kansas,united states,37.63007,-97.25869,1777,Wichita KS MSA
3538,tricht,gelderland,netherlands,51.89083,5.26806,1850,
3539,lieren,gelderland,netherlands,52.1625,5.98889,570,
3541,otaniemi,uusimaa,finland,60.18395,24.82786,3496,
3542,campbeltown,scotland,united kingdom,55.42583,-5.60764,4800,
3543,san juan bautista,california,united states,36.84551,-121.538,1961,San Jose-Sunnyvale-Santa Clara CA MSA
3544,seymour,wisconsin,united states,44.82663,-91.43127,1418,Appleton WI MSA
3545,baker,louisiana,united states,30.58824,-91.16816,13695,Baton Rouge LA MSA
3546,tioga,north dakota,united states,48.39724,-102.93824,1643,ND NONMETROPOLITAN AREA
3548,san giuseppe vesuviano,campania,italy,40.8356,14.50487,26888,
3549,gunpo,gyeonggi do,south korea,37.3675,126.94694,286485,
3550,zoutelande,zeeland,netherlands,51.50167,3.48472,1315,
3551,philippine,zeeland,netherlands,51.2828,3.7586,0,
3552,skinnskatteberg,vastmanland,sweden,59.83028,15.69337,2383,
3554,rochester institute of technology,new york,united states,43.0827,-77.6714,0,
3555,shiprock,new mexico,united states,36.78555,-108.68703,8295,Farmington NM MSA
3556,i ncirlik,siirt,turkey,37.92645,41.51708,135,
3557,outokumpu,north karelia,finland,62.72685,29.01592,7738,
3558,veenwouden,fryslan,netherlands,53.2389,5.99,0,
3559,brixton,lambeth,united kingdom,51.463,-0.106,78536,
3560,birchwood,southland,new zealand,-45.939,167.865,0,
3562,cernavoda,constanta,romania,44.33957,28.03273,18502,
3563,glen cove,new york,united states,40.86232,-73.63374,27400,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3564,padre hurtado,region metropolitana,chile,-33.5667,-70.8333,0,
3565,hillerstorp,jonkoping,sweden,57.31293,13.88437,1746,
3567,willoughby hills,ohio,united states,41.59838,-81.41845,9382,
3568,kapelle op den bos,flanders,belgium,51.0097,4.36303,8859,
3569,kincardine,scotland,united kingdom,56.06945,-3.71964,2810,
3570,vadsø,troms og finnmark,norway,70.07348,29.74943,5139,
3572,upton,massachusetts,united states,42.17454,-71.60229,3013,Worcester MA MSA
3573,beaulieu,occitanie,france,43.72861,4.02194,1573,
3574,espartinas,andalusia,spain,37.38154,-6.12578,12648,
3575,frogner,viken,norway,60.02463,11.10284,1108,
3576,boscombe,bournemouth,united kingdom,50.725,-1.84,20719,
3577,dobris,central bohemia,czechia,49.78113,14.16717,8828,
3578,hondarribia,basque country,spain,43.36859,-1.79622,16458,
3579,waddington,england,united kingdom,53.16667,-0.53333,4081,
3580,orange,massachusetts,united states,42.59036,-72.30981,4018,Springfield MA MSA
3581,ringoes,new jersey,united states,40.4327,-74.8721,0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3585,dewitt,iowa,united states,41.8227,-90.5448,5192,Lansing-East Lansing MI MSA
3591,holland,pennsylvania,united states,40.1729,-74.9927,0,Holland-Grand Haven MI MSA
3597,offutt afb,nebraska,united states,41.1207,-95.9209,5048,Omaha-Council Bluffs NE-IA MSA
3600,forestville,maryland,united states,38.84511,-76.87497,12353,Santa Rosa-Petaluma CA MSA
3606,peapack,new jersey,united states,40.71677,-74.65655,2086,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3607,rockdale,texas,united states,30.65548,-97.00137,5609,TX NONMETROPOLITAN AREA
3608,brighton,new york,united states,43.14756,-77.55055,36609,Iowa City IA MSA
3610,college point,new york,united states,40.7876,-73.84597,27307,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3613,gray,tennessee,united states,36.41983,-82.47654,1222,Macon GA MSA
3614,paradise,nevada,united states,36.09719,-115.14666,223167,Dallas-Fort Worth-Arlington TX MSA
3628,crown point,new york,united states,43.95034,-73.43707,1903,NY NONMETROPOLITAN AREA
3634,hillsborough,new hampshire,united states,43.1141,-71.8992,1976,Durham NC MSA
3640,sheridan,illinois,united states,41.53003,-88.6798,2743,Little Rock-North Little Rock-Conway AR MSA
3642,monroe,virginia,united states,37.5021,-79.1278,0,Cincinnati-Middletown OH-KY-IN MSA
3646,washington,utah,united states,37.13054,-113.50829,24299,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
3658,eden,utah,united states,41.3005,-111.81216,600,TX NONMETROPOLITAN AREA
3667,district heights,maryland,united states,38.85761,-76.88942,6144,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
3671,lambert,mississippi,united states,34.20178,-90.28343,1490,MT NONMETROPOLITAN AREA
3672,prospect,illinois,united states,40.3195,-88.2128,0,Louisville/Jefferson County KY-IN MSA
3673,hanover,virginia,united states,37.76653,-77.37026,252,York-Hanover PA MSA
3682,vernon,indiana,united states,38.98478,-85.60941,311,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3702,gustavus,alaska,united states,58.41333,-135.73694,434,AK NONMETROPOLITAN AREA
3712,northville,new york,united states,40.9701,-72.61898,1340,Detroit-Warren-Livonia MI MSA
3713,hamilton,alabama,united states,34.14232,-87.98864,6772,Syracuse NY MSA
3716,oak ridge,florida,united states,28.47112,-81.42452,22685,Pittsburgh PA MSA
3725,upland,pennsylvania,united states,39.8865,-75.77439,2895,Riverside-San Bernardino-Ontario CA MSA
3730,rosemont,california,united states,38.55185,-121.36467,22681,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3740,montebello,new york,united states,41.13593,-74.11848,4652,Los Angeles-Long Beach-Santa Ana CA MSA
3743,collinsville,massachusetts,united states,42.6834,-71.3523,0,Tulsa OK MSA
3748,inverness,illinois,united states,42.11808,-88.09619,7583,FL NONMETROPOLITAN AREA
3752,triangle,virginia,united states,38.54679,-77.33665,8188,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
3757,edgewood,new york,united states,42.1404,-74.2124,0,IL NONMETROPOLITAN AREA
3759,west haven,oregon,united states,45.51762,-122.76954,6009,New Haven-Milford CT MSA
3763,woodville,texas,united states,30.7752,-94.41548,2478,TX NONMETROPOLITAN AREA
3764,laporte,indiana,united states,41.6106,-86.72252,22053,MN NONMETROPOLITAN AREA
3771,eden,minnesota,united states,44.088,-92.8849,0,TX NONMETROPOLITAN AREA
3773,cochran,georgia,united states,32.38683,-83.35461,4363,GA NONMETROPOLITAN AREA
3775,woodland hills,kentucky,united states,38.24035,-85.52413,696,Los Angeles-Long Beach-Santa Ana CA MSA
3777,bloomsbury,new jersey,united states,40.65399,-75.08656,848,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3781,ammon,idaho,united states,43.46964,-111.96664,14960,Richmond VA MSA
3794,tama,iowa,united states,41.96666,-92.57686,2819,IA NONMETROPOLITAN AREA
3803,hinckley,ohio,united states,41.2384,-81.7451,0,MN NONMETROPOLITAN AREA
3807,shiloh,illinois,united states,38.56144,-89.89732,12961,Vineland-Millville-Bridgeton NJ MSA
3811,caledonia,wisconsin,united states,42.8078,-87.92425,24684,St. Louis MO-IL MSA
3818,lyndhurst,ohio,united states,41.52005,-81.48873,13691,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3825,dupont,washington,united states,47.09676,-122.63124,9356,IN NONMETROPOLITAN AREA
3827,gates,new york,united states,43.1514,-77.713,28398,TN NONMETROPOLITAN AREA
3828,concord,ohio,united states,40.1431,-82.6379,0,Charlotte-Gastonia-Concord NC-SC MSA
3830,burton,ohio,united states,41.47061,-81.1451,1461,Seattle-Tacoma-Bellevue WA MSA
3832,calais,maine,united states,45.18376,-67.27662,2980,ME NONMETROPOLITAN AREA
3834,kenwood,illinois,united states,41.8092,-87.59755,17601,Santa Rosa-Petaluma CA MSA
3839,corinth,new york,united states,43.24452,-73.83234,2516,Cincinnati-Middletown OH-KY-IN MSA
3845,saint joseph,minnesota,united states,45.56496,-94.31833,6534,St. Joseph MO-KS MSA
3852,poland,ohio,united states,41.02423,-80.6148,2484,Lewiston-Auburn ME MSA
3860,ozone park,new york,united states,40.67677,-73.84375,53985,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3861,gladstone,new jersey,united states,40.7226,-74.66544,2086,Portland-Vancouver-Beaverton OR-WA MSA
3865,eielson afb,alaska,united states,64.6741,-147.0605,3229,Fairbanks AK MSA
3883,smithfield,pennsylvania,united states,39.80313,-79.80783,859,Raleigh-Cary NC MSA
3884,gateway,alaska,united states,61.57278,-149.24083,5552,Fayetteville-Springdale-Rogers AR-MO MSA
3890,east elmhurst,new york,united states,40.76121,-73.86514,23150,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
3902,wilder,kentucky,united states,39.05645,-84.48689,3088,VT NONMETROPOLITAN AREA
3914,midway,georgia,united states,31.80577,-81.43066,2007,Lexington-Fayette KY MSA
3934,patterson,ohio,united states,40.78061,-83.52576,138,Hickory-Lenoir-Morganton NC MSA
3935,whitehouse,ohio,united states,41.51894,-83.80383,4462,Toledo OH MSA
3938,canyon lake,california,united states,33.68502,-117.27309,11080,San Antonio TX MSA
3946,mansfield,louisiana,united states,32.03766,-93.70018,4946,Mansfield OH MSA
3952,washington,north carolina,united states,35.54655,-77.05217,9788,Washington-Arlington-Alexandria DC-VA-MD-WV MSA
3960,long beach,new jersey,united states,39.6451,-74.2023,3056,Los Angeles-Long Beach-Santa Ana CA MSA
3963,jefferson,louisiana,united states,29.96604,-90.15313,11193,IA NONMETROPOLITAN AREA
3969,kenmore,new york,united states,42.96589,-78.87004,15160,Seattle-Tacoma-Bellevue WA MSA
3970,belmont,washington,united states,47.0879,-117.1624,0,Boston-Cambridge-Quincy MA-NH MSA
3978,crestwood,missouri,united states,38.557,-90.38178,11966,Chicago-Naperville-Joliet IL-IN-WI MSA
3981,new boston,texas,united states,33.45984,-94.41548,4688,Davenport-Moline-Rock Island IA-IL MSA
3984,orono,minnesota,united states,44.97135,-93.6044,8006,Bangor ME MSA
3987,hanford,washington,united states,46.5837,-119.3878,0,Hanford-Corcoran CA MSA
3993,westmont,new jersey,united states,39.9082,-75.0552,0,Chicago-Naperville-Joliet IL-IN-WI MSA
4005,rosemont,pennsylvania,united states,40.0306,-75.327,0,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4008,plains,pennsylvania,united states,41.27536,-75.8502,4335,MT NONMETROPOLITAN AREA
4010,yarmouth,massachusetts,united states,41.70567,-70.22863,25243,IA NONMETROPOLITAN AREA
4018,meade,kansas,united states,37.28558,-100.34015,1624,KS NONMETROPOLITAN AREA
4028,loudonville,new york,united states,42.7068,-73.7665,0,OH NONMETROPOLITAN AREA
4071,fairlawn,virginia,united states,37.77624,-79.982,2147,Akron OH MSA
4072,baltic,connecticut,united states,41.61704,-72.08452,1250,Sioux Falls SD MSA
4074,georgetown,ohio,united states,38.86451,-83.90409,4447,Bridgeport-Stamford-Norwalk CT MSA
4075,aberdeen,new jersey,united states,40.4165,-74.2249,18540,MS NONMETROPOLITAN AREA
4076,frazer,pennsylvania,united states,40.6065,-79.7964,1123,MT NONMETROPOLITAN AREA
4079,whitehouse,texas,united states,32.22682,-95.2255,8189,Toledo OH MSA
4081,christiana,delaware,united states,39.6651,-75.6599,0,Lancaster PA MSA
4085,falcon heights,minnesota,united states,44.99163,-93.16633,5571,TX NONMETROPOLITAN AREA
4086,calverton,maryland,united states,39.05761,-76.93581,17724,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4089,cadiz,ohio,united states,40.27285,-80.99676,3271,OH NONMETROPOLITAN AREA
4095,swarthmore,pennsylvania,united states,39.90206,-75.34991,6211,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
4096,harnosand,vasternorrland,sweden,62.63228,17.93794,18426,
4097,los andes,valparaiso,chile,-32.83369,-70.59827,56859,
4098,eemnes,utrecht,netherlands,52.25417,5.26111,630,
4099,lindon,utah,united states,40.34329,-111.72076,10810,Provo-Orem UT MSA
4100,yuba city,california,united states,39.14045,-121.61691,66941,Yuba City CA MSA
4102,pittsburg,kansas,united states,37.41088,-94.70496,20409,KS NONMETROPOLITAN AREA
4103,fairfield,new jersey,united states,40.88371,-74.30598,7063,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4104,rudrapur,karnataka,india,15.868,74.9337,0,
4105,rhoon,south holland,netherlands,51.8575,4.42222,18250,
4106,weston,connecticut,united states,41.2284,-73.3726,10287,Bridgeport-Stamford-Norwalk CT MSA
4107,monclova,coahuila,mexico,26.90687,-101.42056,215271,
4108,morton grove,illinois,united states,42.04059,-87.78256,23448,Chicago-Naperville-Joliet IL-IN-WI MSA
4109,tuckahoe,new york,united states,40.89899,-72.41092,1373,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4110,foley,alabama,united states,30.40659,-87.6836,17218,AL NONMETROPOLITAN AREA
4111,boerne,texas,united states,29.79466,-98.73197,13674,San Antonio TX MSA
4112,levittown,pennsylvania,united states,40.15511,-74.82877,52983,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
4113,paoli,pennsylvania,united states,40.04205,-75.47631,5575,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
4114,sainte luce sur loire,pays de la loire,france,47.25508,-1.48269,13056,
4116,jicin,kralovehradecky kraj,czechia,50.43723,15.35162,16328,
4117,new braunfels,texas,united states,29.703,-98.12445,70543,San Antonio TX MSA
4118,port aransas,texas,united states,27.83392,-97.0611,3955,Corpus Christi TX MSA
4119,la spezia,liguria,italy,44.103,9.82375,88491,
4120,capiata,central,paraguay,-25.3552,-57.44545,198553,
4121,stratford,connecticut,united states,41.18454,-73.13317,51384,Bridgeport-Stamford-Norwalk CT MSA
4122,frederikshavn,north denmark,denmark,57.44073,10.53661,24103,
4123,volgograd,volgograd oblast,russia,48.71939,44.50183,1011417,
4124,west sacramento,california,united states,38.58046,-121.53023,52721,Sacramento-Arden-Arcade-Roseville CA MSA
4125,mountlake terrace,washington,united states,47.78815,-122.30874,20989,Seattle-Tacoma-Bellevue WA MSA
4126,bear,delaware,united states,39.62928,-75.65826,19371,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA
4128,laramie,wyoming,united states,41.31137,-105.5911,32158,WY NONMETROPOLITAN AREA
4131,khajuraho group of monuments,madhya pradesh,india,24.84809,79.93351,25662,
4132,montrose,scotland,united kingdom,56.71683,-2.46695,11880,
4133,esquimalt,british columbia,canada,48.43569,-123.41174,17655,
4134,adeje,canary islands,spain,28.12271,-16.726,43204,
4135,tunkhannock,pennsylvania,united states,41.53869,-75.94659,1780,Scranton--Wilkes-Barre PA MSA
4136,funchal,madeira,portugal,32.66568,-16.92547,100847,
4137,camaguey,camaguey,cuba,21.38083,-77.91694,347562,
4138,old saybrook,connecticut,united states,41.29177,-72.3762,10627,Hartford-West Hartford-East Hartford CT MSA
4139,saratov,saratovskaya oblast,russia,51.54056,46.00861,863725,
4140,siliguri,west bengal,india,26.71004,88.42851,515574,
4142,mandaluyong city,metro manila,philippines,14.5832,121.0409,425758,
4143,selbyville,delaware,united states,38.46039,-75.22074,2397,DE NONMETROPOLITAN AREA
4144,jaffna,northern,sri lanka,9.6647,80.0167,88138,
4145,kirklareli,kirklareli,turkey,41.7347,27.2253,102909,
4146,rosyth,scotland,united kingdom,56.03689,-3.438,13690,
4147,santa cruz,santa cruz,bolivia,-17.7892,-63.1975,3151676,
4148,le grand quevilly,normandy,france,49.40076,1.04582,26522,
4149,marriottsville,maryland,united states,39.3501,-76.8994,0,Baltimore-Towson MD MSA
4150,bayamon,bayamon,puerto rico,18.39856,-66.15572,203499,
4151,voorst,gelderland,netherlands,52.17,6.14167,1505,
4153,fort leonard wood,missouri,united states,37.70573,-92.15717,15061,MO NONMETROPOLITAN AREA
4154,oak harbor,washington,united states,48.29316,-122.64322,22693,WA NONMETROPOLITAN AREA
4157,gopalganj,bihar,india,26.46734,84.44041,63725,
4158,veroia,central macedonia,greece,40.52437,22.20242,44464,
4159,manchester,manchester,united kingdom,53.4794,-2.2453,2705000,
4161,hamar,innlandet,norway,60.7945,11.06798,29479,
4162,keokuk,iowa,united states,40.39727,-91.38487,10609,IA NONMETROPOLITAN AREA
4163,geelong west,victoria,australia,-38.13888,144.34842,6775,
4164,erlanger,kentucky,united states,39.01673,-84.60078,18797,Cincinnati-Middletown OH-KY-IN MSA
4165,reynosa,tamaulipas,mexico,26.08061,-98.28835,589466,
4166,shoreditch,hackney,united kingdom,51.526,-0.078,0,
4167,commerce,texas,united states,33.24706,-95.89997,8892,Dallas-Fort Worth-Arlington TX MSA
4168,edenvale,gauteng,south africa,-26.14095,28.15247,49292,
4169,millville,new jersey,united states,39.40206,-75.03934,28230,Vineland-Millville-Bridgeton NJ MSA
4170,malibu,california,united states,34.02577,-118.7804,12965,Los Angeles-Long Beach-Santa Ana CA MSA
4171,governador valadares,minas gerais,brazil,-18.85111,-41.94944,250878,
4172,frauenfeld,thurgau,switzerland,47.55776,8.89893,21979,
4173,pueblo,colorado,united states,38.25445,-104.60914,109412,Pueblo CO MSA
4174,windermere,florida,united states,28.49556,-81.5348,3249,Orlando-Kissimmee FL MSA
4175,ponca city,oklahoma,united states,36.70698,-97.08559,24758,OK NONMETROPOLITAN AREA
4177,san luis,san luis,argentina,-33.29501,-66.33563,183982,
4178,suresnes,ile de france,france,48.87143,2.22929,44697,
4179,waipahu,hawaii,united states,21.38667,-158.00917,38216,Honolulu HI MSA
4180,jambi city,jambi,indonesia,-1.6,103.61667,420323,
4181,arnsberg,north rhine westphalia,germany,51.38333,8.08333,76612,
4183,blagnac,occitanie,france,43.63675,1.38971,24263,
4184,kongsberg,viken,norway,59.66858,9.65017,17667,
4185,chanda,maharashtra,india,19.95076,79.29523,328351,
4186,khartoum,khartoum,sudan,15.55177,32.53241,1974647,
4187,villefranche sur saone,auvergne rhone alpes,france,45.98967,4.71961,32994,
4188,broken arrow,oklahoma,united states,36.0526,-95.79082,106563,Tulsa OK MSA
4189,logansport,indiana,united states,40.75448,-86.35667,17793,IN NONMETROPOLITAN AREA
4190,aguadilla,aguadilla,puerto rico,18.42745,-67.15407,16073,
4192,aalsmeer,north holland,netherlands,52.25917,4.75972,22991,
4194,dax,nouvelle aquitaine,france,43.71032,-1.05366,22305,
4195,temple city,california,united states,34.10723,-118.05785,36365,Los Angeles-Long Beach-Santa Ana CA MSA
4196,le robert,martinique,martinique,14.67751,-60.94228,23814,
4197,kaysville,utah,united states,41.03522,-111.93855,30472,Ogden-Clearfield UT MSA
4198,chateaubriant,pays de la loire,france,47.71675,-1.37643,13024,
4200,city of westminster,england,united kingdom,51.4975,-0.1357,247614,
4201,mossoro,rio grande do norte,brazil,-5.1875,-37.34417,202005,
4202,neath,wales,united kingdom,51.66317,-3.80443,46126,
4204,handan,hebei,china,36.60999,114.48764,1358318,
4205,gif sur yvette,ile de france,france,48.68333,2.13333,23541,
4206,viamao,rio grande do sul,brazil,-30.08111,-51.02333,285269,
4207,bremerton,washington,united states,47.56732,-122.63264,39520,Bremerton-Silverdale WA MSA
4208,santa rosa beach,florida,united states,30.396,-86.2288,0,FL NONMETROPOLITAN AREA
4209,mirpur khas,sindh,pakistan,25.5276,69.01255,215657,
4210,san fernando,andalusia,spain,36.4759,-6.19817,96366,
4211,auxerre,bourgogne franche comte,france,47.7996,3.57033,41516,
4212,figueres,catalonia,spain,42.26645,2.96163,43330,
4213,suhaj,suhaj,egypt,26.5606,31.6917,193931,
4214,lissieu,auvergne rhone alpes,france,45.86487,4.74221,3136,
4215,owego,new york,united states,42.10341,-76.26215,3736,Binghamton NY MSA
4216,piestany,trnava,slovakia,48.59479,17.82591,30000,
4217,rockwall,texas,united states,32.93123,-96.45971,42566,Dallas-Fort Worth-Arlington TX MSA
4218,aarau,aargau,switzerland,47.39254,8.04422,15501,
4219,newberry,florida,united states,29.64635,-82.6065,5564,Gainesville FL MSA
4220,varde,south denmark,denmark,55.62112,8.48069,12735,
4222,los banos,calabarzon,philippines,14.17025,121.24181,95750,
4224,helmond,north brabant,netherlands,51.48167,5.66111,74740,
4225,la sentinelle,hauts de france,france,50.35115,3.48425,3238,
4227,bielsko biala,silesia,poland,49.82245,19.04686,176515,
4228,can tho,can tho,vietnam,10.03711,105.78825,812088,
4229,florham park,new jersey,united states,40.78788,-74.38821,11835,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4230,penticton,british columbia,canada,49.48062,-119.58584,33761,
4231,kumasi,ashanti,ghana,6.68848,-1.62443,1468609,
4232,sandviken,gavleborg,sweden,60.61667,16.76667,24724,
4233,chacao,miranda,venezuela,10.49581,-66.85367,64609,
4234,erechim,rio grande do sul,brazil,-27.63461,-52.2754,96087,
4235,mathura,uttar pradesh,india,27.5035,77.67215,330511,
4236,issoire,auvergne rhone alpes,france,45.54422,3.24901,15984,
4237,nagano,nagano,japan,36.65,138.18333,360176,
4238,secunderabad,telangana,india,17.50427,78.54263,204182,
4240,grand haven,michigan,united states,43.06307,-86.22839,11062,Holland-Grand Haven MI MSA
4242,christiansburg,virginia,united states,37.12985,-80.40894,21943,Blacksburg-Christiansburg-Radford VA MSA
4243,hospet,karnataka,india,15.26954,76.3871,197846,
4244,civitanova marche,the marches,italy,43.30491,13.72068,41205,
4245,monheim,bavaria,germany,48.84389,10.85834,4950,
4246,bluefield,west virginia,united states,37.26984,-81.22232,10323,WV NONMETROPOLITAN AREA
4247,sedalia,missouri,united states,38.70446,-93.22826,21516,MO NONMETROPOLITAN AREA
4248,tipp city,ohio,united states,39.95839,-84.17216,9899,Dayton OH MSA
4249,sumperk,olomoucky,czechia,49.96528,16.97061,28768,
4250,new fairfield,connecticut,united states,41.46648,-73.48568,14126,Bridgeport-Stamford-Norwalk CT MSA
4252,garches,ile de france,france,48.84226,2.18232,18930,
4253,west covina,california,united states,34.06862,-117.93895,108484,Los Angeles-Long Beach-Santa Ana CA MSA
4255,rockaway,new jersey,united states,40.90121,-74.51432,6494,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4256,nykoping,sodermanland,sweden,58.753,17.00788,32224,
4257,quetta,balochistan,pakistan,30.18414,67.00141,733675,
4258,sendai,miyagi,japan,38.26667,140.86667,1063103,
4259,barmer,rajasthan,india,25.74572,71.39211,89487,
4260,made,north brabant,netherlands,51.67667,4.79306,11795,
4261,upland,california,united states,34.09751,-117.64839,76443,Riverside-San Bernardino-Ontario CA MSA
4262,gueret,nouvelle aquitaine,france,46.17185,1.87166,15853,
4263,vercelli,piedmont,italy,45.32163,8.41989,45593,
4264,orchard park,new york,united states,42.76756,-78.74392,3206,Buffalo-Niagara Falls NY MSA
4266,hilden,north rhine westphalia,germany,51.16818,6.93093,56565,
4267,murrells inlet,south carolina,united states,33.551,-79.04143,7547,SC NONMETROPOLITAN AREA
4268,palghar,maharashtra,india,19.69693,72.76543,72335,
4270,plan les ouates,geneva,switzerland,46.16789,6.11664,10540,
4271,west warwick,rhode island,united states,41.69689,-71.52194,30146,Providence-New Bedford-Fall River RI-MA MSA
4272,garland,texas,united states,32.91262,-96.63888,236897,Dallas-Fort Worth-Arlington TX MSA
4273,bengkulu,bengkulu,indonesia,-3.80044,102.26554,309712,
4274,newtown,connecticut,united states,41.41398,-73.30345,1967,Bridgeport-Stamford-Norwalk CT MSA
4275,sleman,yogyakarta,indonesia,-7.71556,110.35556,56215,
4276,berwyn,pennsylvania,united states,40.04483,-75.43881,3631,Chicago-Naperville-Joliet IL-IN-WI MSA
4277,reigate,england,united kingdom,51.23736,-0.20582,52123,
4278,paks,tolna,hungary,46.6221,18.85569,20638,
4279,sarreguemines,grand est,france,49.10995,7.06747,24446,
4280,menomonee falls,wisconsin,united states,43.1789,-88.11731,36119,Milwaukee-Waukesha-West Allis WI MSA
4281,matsapha,manzini,swaziland,-26.5167,31.3167,0,
4282,kalyani,west bengal,india,22.9757,88.4337,93184,
4283,neillsville,wisconsin,united states,44.55996,-90.59625,2409,WI NONMETROPOLITAN AREA
4285,cesson sevigne,brittany,france,48.1212,-1.603,16222,
4286,lincroft,new jersey,united states,40.33067,-74.12097,6135,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4287,phuket,phuket,thailand,7.89059,98.3981,89072,
4288,shimla,himachal pradesh,india,31.10442,77.16662,173503,
4289,kearney,nebraska,united states,40.69946,-99.08148,33021,NE NONMETROPOLITAN AREA
4290,valjevo,central serbia,serbia,44.27513,19.89821,61035,
4292,india,north bank,gambia,13.56667,-15.75,529,
4293,conklin,new york,united states,42.0399,-75.8342,5179,Binghamton NY MSA
4294,pineville,louisiana,united states,31.3224,-92.4343,14403,Alexandria LA MSA
4295,gandhinagar,gujarat,india,23.21667,72.68333,195985,
4296,laakirchen,upper austria,austria,47.98188,13.82166,9861,
4297,torrington,connecticut,united states,41.80065,-73.12122,34906,CT NONMETROPOLITAN AREA
4298,leominster,massachusetts,united states,42.52509,-71.75979,41569,Worcester MA MSA
4299,ballston lake,new york,united states,42.91174,-73.86818,9776,Albany-Schenectady-Troy NY MSA
4301,awka,anambra,nigeria,6.21269,7.07199,167738,
4302,east providence,rhode island,united states,41.81371,-71.37005,47408,Providence-New Bedford-Fall River RI-MA MSA
4303,bidadi,karnataka,india,12.7993,77.3865,0,
4305,harlow,england,united kingdom,51.77655,0.11158,94365,
4306,mortagne au perche,normandy,france,48.52018,0.54734,4893,
4308,sanger,california,united states,36.70801,-119.55597,24950,Fresno CA MSA
4310,hortonville,wisconsin,united states,44.3347,-88.63816,2712,Appleton WI MSA
4311,east northport,new york,united states,40.87676,-73.32456,20217,New York-Northern New Jersey-Long Island NY-NJ-PA MSA
4312,murmansk,murmansk,russia,68.97917,33.09251,319263,
4313,kahului,hawaii,united states,20.88953,-156.47432,26337,HI NONMETROPOLITAN AREA
4314,tettnang,baden wurttemberg,germany,47.66857,9.59132,18135,
4315,charlottetown,prince edward island,canada,46.23459,-63.1256,42402,
4316,olbia,sardinia,italy,40.92337,9.49802,42930,
4317,czestochowa,silesia,poland,50.79646,19.12409,248125,
4319,portishead,england,united kingdom,51.48199,-2.76973,23699,
4320,morges,vaud,switzerland,46.51127,6.49854,14117,
