city,state,country,latitude,longitude,population
borculo,gelderland,netherlands,52.11583,6.52222,10373
melfort,saskatchewan,canada,52.86673,-104.61768,5778
flourens,occitanie,france,43.59273,1.56259,1703
butner,north carolina,united states,36.13209,-78.75667,7751
khenchela,khenchela,algeria,35.43583,7.14333,117000
jalingo,taraba,nigeria,8.89367,11.3596,117757
kirkby in ashfield,england,united kingdom,53.09982,-1.24379,27539
chinchilla,queensland,australia,-26.73787,150.6297,7347
altotting,bavaria,germany,48.22533,12.67665,12902
silea,veneto,italy,45.65444,12.29701,6077
jabbeke,flanders,belgium,51.18185,3.08935,13488
kondapur,telangana,india,17.4656,78.3419,0
karsıyaka,kocaeli,turkey,40.6936,29.94154,3221
villanueva y geltru,catalonia,spain,41.2243,1.7259,67733
puttershoek,zuid holland,netherlands,51.8044,4.5681,5688
oita,oita,japan,33.23333,131.6,448907
haslemere,england,united kingdom,51.09015,-0.70785,13651
cantoria,andalusia,spain,37.35146,-2.19209,3502
kesteren,gelderland,netherlands,51.935,5.56944,4455
la malbaie,quebec,canada,47.654,-70.15268,8959
roquebrune cap martin,provence alpes cote d azur,france,43.76408,7.48207,11834
davie,florida,united states,26.06287,-80.2331,100882
dryden,ontario,canada,49.78334,-92.75032,8195
whakatane,bay of plenty,new zealand,-37.95855,176.98545,18602
flic en flac,black river,mauritius,-20.27417,57.36306,2010
salinas victoria,nuevo leon,mexico,25.96329,-100.29091,8979
montreuil bellay,pays de la loire,france,47.1312,-0.15365,4631
ghent,kentucky,united states,38.73756,-85.05828,320
tjøme,vestfold og telemark,norway,59.1109,10.3933,4663
kempston,england,united kingdom,52.11599,-0.50044,19873
furstenwalde,brandenburg,germany,52.36067,14.06185,33539
s heerenberg,gelderland,netherlands,51.8767,6.25877,4720
gjilan,gjilan,kosovo,42.46045,21.46986,51912
castalla,valencia,spain,38.59694,-0.67207,10327
boe,nouvelle aquitaine,france,44.1602,0.6281,4746
marshall,michigan,united states,42.27226,-84.96331,7045
honeydew,california,united states,40.2443,-124.1228,0
prescott,ontario,canada,44.71681,-75.51604,4466
tsumeb,,namibia,-19.23333,17.71667,12190
milano marittima,emilia romagna,italy,44.27409,12.35172,1524
montmirail,grand est,france,48.87214,3.53797,3742
mindelo,sao vicente,cabo verde,16.89014,-24.98042,70611
zahedan,sistan and baluchestan,iran,29.4963,60.8629,551980
orleans,santa catarina,brazil,-28.35889,-49.29139,16422
merzifon,amasya,turkey,40.87333,35.46306,50658
dyer,indiana,united states,41.4942,-87.52171,16051
cerizay,nouvelle aquitaine,france,46.8215,-0.66492,4777
linares,nuevo leon,mexico,24.85798,-99.56768,63104
oriskany,new york,united states,43.15729,-75.33267,1375
saint augustin de desmaures,quebec,canada,46.74064,-71.45131,17281
hallstahammar,vastmanland,sweden,59.61395,16.22846,10787
ugento,apulia,italy,39.92724,18.15832,8875
veliko tarnovo,veliko tarnovo,bulgaria,43.0822,25.6317,72207
lampasas,texas,united states,31.06378,-98.1817,7687
melbourne beach,florida,united states,28.06835,-80.56033,3219
angatuba,sao paulo,brazil,-23.48972,-48.41278,14476
hod hasharon,central district,israel,32.15934,34.8932,63175
bhadrachalam,telangana,india,17.66846,80.88887,45656
motilla del palancar,castille la mancha,spain,39.56667,-1.88333,5607
nyons,auvergne rhone alpes,france,44.36082,5.14052,7330
giugliano in campania,campania,italy,40.92849,14.20197,80269
ormes,centre,france,47.94152,1.81823,3219
sunset hills,missouri,united states,38.53894,-90.40734,8539
bisbee,arizona,united states,31.44815,-109.92841,5208
cacem,lisbon,portugal,38.76698,-9.29793,93982
l alcora,valencia,spain,40.06667,-0.2,10430
enstone,england,united kingdom,51.91537,-1.45371,849
porthcawl,wales,united kingdom,51.47903,-3.70362,15672
dettingen an der erms,baden wurttemberg,germany,48.53077,9.34458,9271
hillsboro,ohio,united states,39.20229,-83.61159,6557
pattaya,chon buri,thailand,12.93333,100.88333,97296
rosario,calabarzon,philippines,13.8635,122.2731,5563
cuincy,hauts de france,france,50.37933,3.05301,7048
commentry,auvergne rhone alpes,france,46.28876,2.74163,7461
wingham,ontario,canada,43.88793,-81.31145,2934
melksham,england,united kingdom,51.37281,-2.14002,19357
villeneuve les avignon,occitanie,france,43.96773,4.79258,13451
hapert,north brabant,netherlands,51.36833,5.25694,4955
harvard,illinois,united states,42.42224,-88.61371,9194
chauny,hauts de france,france,49.61514,3.21857,13176
saint cyr sur loire,centre,france,47.4,0.66667,17337
roseto degli abruzzi,abruzzo,italy,42.67164,14.01481,16538
iqaluit,nunavut,canada,63.74697,-68.51727,6124
wielun,łodz voivodeship,poland,51.22097,18.56964,21892
labrador city,newfoundland and labrador,canada,52.94626,-66.91137,7220
bluffton,indiana,united states,40.73866,-85.17164,10005
naivasha,nakuru,kenya,-0.71383,36.43261,38366
princes risborough,england,united kingdom,51.72549,-0.83144,8231
butler,indiana,united states,41.42977,-84.87135,2701
smithville,missouri,united states,39.38694,-94.58107,9233
bangu,rio de janeiro,brazil,-22.8798,-43.4698,0
przemysl,subcarpathia,poland,49.78498,22.76728,67013
huejotzingo,puebla,mexico,19.15892,-98.40824,25684
general alvear,mendoza,argentina,-34.9667,-67.7,0
cuxhaven,lower saxony,germany,53.86828,8.69902,52677
north aurora,illinois,united states,41.80614,-88.3273,17456
bega,new south wales,australia,-36.67392,149.84178,4683
ansan si,gyeonggi do,south korea,37.32361,126.82194,716785
shawbury,england,united kingdom,52.79098,-2.66183,2317
smithville,ontario,canada,43.1021,-79.5456,0
malahide,leinster,ireland,53.45083,-6.15444,16550
donauworth,bavaria,germany,48.71804,10.7793,18364
katy wrocławskie,lower silesia,poland,51.03098,16.76767,5418
yate,england,united kingdom,51.54074,-2.41839,34406
saint remy les chevreuse,ile de france,france,48.70708,2.07692,8072
appelscha,friesland,netherlands,52.95526,6.35053,4035
halsteren,north brabant,netherlands,51.52834,4.26785,9850
indian wells,california,united states,33.71791,-116.34311,5289
kanchanaburi,kanchanaburi,thailand,14.00412,99.54832,63699
liptovsky mikulas,zilinsky kraj,slovakia,49.08061,19.62218,31194
newport,tennessee,united states,35.96704,-83.18766,6834
logan central,queensland,australia,-27.64385,153.10725,5891
si racha,chon buri,thailand,13.17372,100.93111,178916
selkirk,scotland,united kingdom,55.54738,-2.83911,5730
willows,california,united states,39.52433,-122.19359,6069
forster,new south wales,australia,-32.18136,152.51715,13660
brives charensac,auvergne rhone alpes,france,45.0478,3.92878,4721
penzance,england,united kingdom,50.11861,-5.53715,19872
virar,maharashtra,india,19.45591,72.81136,150357
santo antonio de padua,rio de janeiro,brazil,-21.53944,-42.18028,33076
stornoway,scotland,united kingdom,58.20925,-6.38649,7500
yazoo city,mississippi,united states,32.85513,-90.40565,11245
tullamarine,victoria,australia,-37.70128,144.881,6783
wetteren,flanders,belgium,51.00526,3.88341,22930
buren,friesland,netherlands,53.44717,5.79906,710
westbury,england,united kingdom,52.67856,-2.95433,657
canton,illinois,united states,40.55809,-90.03512,14211
marsala,sicily,italy,37.7992,12.4367,77915
kalamaria,central macedonia,greece,40.5825,22.95028,91617
new mirpur,azad kashmir,pakistan,33.14782,73.75187,124352
franklin,kentucky,united states,36.72226,-86.57722,8787
jaffrey,new hampshire,united states,42.81397,-72.02314,2757
arcadia,florida,united states,27.21588,-81.85842,7851
puchov,trenciansky kraj,slovakia,49.12494,18.32597,18833
monte azul paulista,sao paulo,brazil,-20.90722,-48.64139,18117
beynost,auvergne rhone alpes,france,45.83569,4.9991,4182
jasło,subcarpathia,poland,49.74506,21.47252,37851
pluvigner,brittany,france,47.77524,-3.01049,5775
neunkirchen,saarland,germany,49.34449,7.18045,49843
east rancho dominguez,california,united states,33.89807,-118.19535,15135
angri,campania,italy,40.73815,14.5707,31632
arraijan,panama oeste,panama,8.9398,-79.64038,76815
bergues,hauts de france,france,50.96882,2.43242,4355
stargard,west pomerania,poland,53.33672,15.0499,71224
batilly,grand est,france,49.17372,5.96869,1157
saint jean de maurienne,auvergne rhone alpes,france,45.27534,6.35293,9536
nazare,leiria,portugal,39.60289,-9.06836,8993
sao gotardo,minas gerais,brazil,-19.31111,-46.04889,34145
bangkalan,east java,indonesia,-7.0455,112.7351,62178
lone tree,colorado,united states,39.55171,-104.8863,13175
seixal,district of setubal,portugal,38.64008,-9.10141,2776
barranca,lima,peru,-10.7539,-77.761,144381
pallini,attica,greece,38.00514,23.88302,14808
lissone,lombardy,italy,45.61236,9.23985,37353
barberino di mugello,tuscany,italy,43.9993,11.23676,5680
castries,occitanie,france,43.67972,3.98222,5790
margate,kwazulu natal,south africa,-30.8636,30.37052,34407
soisy sous montmorency,ile de france,france,48.98813,2.30156,17436
houssen,grand est,france,48.12579,7.37735,1650
alhandra,paraiba,brazil,-7.43861,-34.91444,10788
almeirim,santarem,portugal,39.20837,-8.62635,11557
hayle,england,united kingdom,50.18392,-5.42137,8210
sao sebastiao do cai,rio grande do sul,brazil,-29.58667,-51.37556,19012
pennsburg,pennsylvania,united states,40.39093,-75.49212,3873
sinnar,maharashtra,india,19.84505,73.99866,34095
quakers hill,new south wales,australia,-33.73333,150.88333,26904
craigavon,northern ireland,united kingdom,54.44709,-6.387,59236
general rodriguez,buenos aires,argentina,-34.6167,-58.95,0
cleethorpes,england,united kingdom,53.56047,-0.03225,32017
wilton,england,united kingdom,51.07926,-1.8621,3579
pargas,southwest finland,finland,60.30672,22.30097,11962
hales corners,wisconsin,united states,42.93751,-88.0487,7759
bain de bretagne,brittany,france,47.84687,-1.68579,6098
hay river,northwest territories,canada,60.81555,-115.79993,3528
farakka,west bengal,india,24.81667,87.9,21834
truganina,victoria,australia,-37.81667,144.75,20646
lenasia,gauteng,south africa,-26.3205,27.8356,0
visoko,federation of b h,bosnia and herzegovina,43.98889,18.17806,17890
boekel,north brabant,netherlands,51.60333,5.675,5480
rousset,provence alpes cote d azur,france,43.48307,5.61959,4115
neustadt,hamburg,germany,53.55196,9.98558,11856
martinez,buenos aires,argentina,-34.4922,-58.5089,0
nyiregyhaza,szabolcs szatmar bereg,hungary,47.95539,21.71671,116298
oława,lower silesia,poland,50.9466,17.2926,33029
quinta do conde,district of setubal,portugal,38.56528,-9.04316,25606
inverell,new south wales,australia,-29.77403,151.11166,11609
amethi,uttar pradesh,india,28.01667,81.05,12206
medinipur,west bengal,india,22.42114,87.32257,153349
peninsula,ohio,united states,41.24117,-81.55262,571
loretto,pennsylvania,united states,40.50313,-78.6303,1376
la llagosta,catalonia,spain,41.51435,2.19297,13820
waasmunster,flanders,belgium,51.10572,4.08573,10460
lauwin planque,hauts de france,france,50.39024,3.0451,1944
westminster,south carolina,united states,34.66482,-83.09654,2484
boca del rio,veracruz,mexico,19.10464,-96.10405,9947
lenox,massachusetts,united states,42.35648,-73.28483,1675
wijk bij duurstede,utrecht,netherlands,51.97417,5.34167,17465
unnao,uttar pradesh,india,26.54706,80.48781,161671
glencoe,illinois,united states,42.13503,-87.75812,8945
puerto boyaca,boyaca,colombia,5.976,-74.58516,27310
camerino,the marches,italy,43.13866,13.06785,4444
tivoli,lazio,italy,41.95952,12.8016,22018
moissac,occitanie,france,44.1045,1.08474,13703
los teques,miranda,venezuela,10.34447,-67.04325,140617
lane cove,new south wales,australia,-33.8157,151.16679,10646
chelmsford,ontario,canada,46.58338,-81.19976,500
sewickley,pennsylvania,united states,40.53646,-80.1845,3829
chapra,bihar,india,25.78031,84.74709,201597
abia,abia,nigeria,5.5342,7.8893,0
becker,minnesota,united states,45.3933,-93.87692,4700
rawtenstall,england,united kingdom,53.70076,-2.28442,22114
doswell,virginia,united states,37.8601,-77.4641,0
tamarac,florida,united states,26.21286,-80.24977,64681
canton,connecticut,united states,41.86,-72.9083,10288
little falls,minnesota,united states,45.97635,-94.3625,8649
niquelandia,goias,brazil,-14.47389,-48.45972,27541
olavarria,buenos aires,argentina,-36.89272,-60.32254,86320
sant andreu de la barca,catalonia,spain,41.44659,1.97187,26401
brielle,new jersey,united states,40.10789,-74.05653,4757
vendome,centre,france,47.79292,1.06556,19226
eysins,vaud,switzerland,46.3817,6.20695,831
castelnaudary,occitanie,france,43.31814,1.95339,12432
jiutepec,morelos,mexico,18.88139,-99.17778,162427
merkezefendi,denizli,turkey,37.80544,29.04236,280341
normanton,england,united kingdom,53.0058,-0.58691,204
hartsville,south carolina,united states,34.37404,-80.0734,7826
rosieres pres troyes,grand est,france,48.26182,4.07396,2995
fortitude valley,queensland,australia,-27.45706,153.03178,7276
brookville,pennsylvania,united states,41.16117,-79.08309,3868
lonate pozzolo,lombardy,italy,45.59213,8.75194,10958
huarochiri,lima,peru,-11.9422,-77.0997,0
coalinga,california,united states,36.13968,-120.36015,16564
lemoore station,california,united states,36.26326,-119.90476,7438
los altos hills,california,united states,37.37966,-122.13746,8419
migori,migori,kenya,-1.06343,34.47313,35240
bunol,valencia,spain,39.41667,-0.78333,9517
wissembourg,grand est,france,49.03708,7.94548,8800
rossland,british columbia,canada,49.08313,-117.80224,3729
brant,ontario,canada,43.1334,-80.34967,34415
almen,gelderland,netherlands,52.15833,6.3,710
peniche,leiria,portugal,39.3558,-9.38112,15662
haslingden,england,united kingdom,53.70326,-2.32382,15204
bluffton,ohio,united states,40.89533,-83.88883,4161
urgnano,lombardy,italy,45.59943,9.69473,7914
freguesia,rio de janeiro,brazil,-22.7895,-43.1721,0
guntersville,alabama,united states,34.35823,-86.29446,8385
escada,pernambuco,brazil,-8.35917,-35.22361,48083
ta xbiex,ta xbiex,malta,35.89917,14.49444,1642
taman senai,johor,malaysia,1.6006,103.6419,73176
estella,navarre,spain,42.6718,-2.0323,0
vandalia,ohio,united states,39.89061,-84.19883,15106
dayton,western australia,australia,-31.85251,115.97494,2761
vocklabruck,upper austria,austria,48.00279,13.65652,3789
andrews afb,maryland,united states,38.80531,-76.8746,2973
st marys,georgia,united states,30.73051,-81.54649,17968
hunters hill,new south wales,australia,-33.83432,151.1459,9357
bad mergentheim,baden wurttemberg,germany,49.4925,9.77361,22472
banjar,himachal pradesh,india,31.639,77.34055,1351
cimahi,west java,indonesia,-6.87222,107.5425,493698
monte grande,emilia romagna,italy,44.103,12.14193,41
strabane,northern ireland,united kingdom,54.82373,-7.46916,14198
zelhem,gelderland,netherlands,52.00667,6.34861,5760
dee why,new south wales,australia,-33.7511,151.28886,21145
lantana,florida,united states,26.58674,-80.05199,11136
chaville,ile de france,france,48.80565,2.18864,18735
hajipur,bihar,india,25.68544,85.20981,133606
loncin,wallonia,belgium,50.66655,5.50509,3118
st marys,ohio,united states,40.5475,-84.3931,9180
enghien les bains,ile de france,france,48.96667,2.31667,10951
juticalpa,olancho,honduras,14.66667,-86.21944,33686
prilly,vaud,switzerland,46.53698,6.60456,10524
quarter,scotland,united kingdom,55.73835,-4.03197,750
keyser,west virginia,united states,39.44093,-78.97392,5248
villa ballester,buenos aires,argentina,-34.5167,-58.5333,0
st charles,maryland,united states,38.60728,-76.92478,33379
burwood east,victoria,australia,-37.85,145.15,10125
villaviciosa de odon,madrid,spain,40.3581,-3.9043,26475
beauchamp,ile de france,france,49.01667,2.2,9532
perundurai,tamil nadu,india,11.27564,77.58794,17488
blairstown,new jersey,united states,40.98288,-74.96045,515
donna,texas,united states,26.17035,-98.05195,16523
lorette,auvergne rhone alpes,france,45.51105,4.58242,3202
grove,england,united kingdom,51.60954,-1.42187,18312
plougastel daoulas,brittany,france,48.37368,-4.36978,13679
sezanne,grand est,france,48.72047,3.72339,5748
st marys,pennsylvania,united states,41.4574,-78.5342,12260
la ferte sous jouarre,ile de france,france,48.9514,3.12724,9443
khopoli,maharashtra,india,18.78562,73.34589,64460
casoria,campania,italy,40.90751,14.293,58456
north east,pennsylvania,united states,42.21561,-79.83422,4172
carrum downs,victoria,australia,-38.09968,145.17248,20444
inca,balearic islands,spain,39.7211,2.91093,29308
mongu,western,zambia,-15.24835,23.12741,52534
pamiers,occitanie,france,43.1165,1.61079,16997
moe,victoria,australia,-38.17828,146.26099,8607
pietrasanta,tuscany,italy,43.95952,10.22784,18897
son,north brabant,netherlands,51.51136,5.49282,4930
hoover,alabama,united states,33.40539,-86.81138,84848
schoten,flanders,belgium,51.25251,4.50268,33622
soshanguve,gauteng,south africa,-25.4729,28.0992,0
moncada,valencia,spain,39.54555,-0.39551,21900
chatelaillon plage,nouvelle aquitaine,france,46.07287,-1.08845,6059
middleville,michigan,united states,42.71309,-85.46196,3301
pamulang,west java,indonesia,-6.34278,106.73833,174557
shirwal,maharashtra,india,18.15059,73.97788,12703
citta sant angelo,abruzzo,italy,42.51254,14.06203,2451
chalkida,central greece,greece,38.46354,23.60284,59125
buckingham,england,united kingdom,51.99968,-0.98779,12890
preston,victoria,australia,-37.75,145.01667,32499
south sioux city,nebraska,united states,42.47388,-96.41364,13319
denekamp,overijssel,netherlands,52.3794,7.0089,0
windisch,aargau,switzerland,47.47899,8.21842,6689
south kingstown,rhode island,united states,41.44718,-71.52494,30826
bertoua,east,cameroon,4.57728,13.68459,218111
daleville,virginia,united states,37.40986,-79.91254,2557
palmas,parana,brazil,-26.48417,-51.99056,39150
midhurst,ontario,canada,44.45,-79.7333,0
mercedes,soriano,uruguay,-33.2524,-58.03047,42359
seedorf,schleswig holstein,germany,54.05,10.41667,2297
montrichard,centre,france,47.3431,1.18653,3745
sultanbeyli,istanbul,turkey,40.96072,29.27067,286622
evron,pays de la loire,france,48.15587,-0.40242,7808
bondoufle,ile de france,france,48.61294,2.37775,9619
saint loubes,nouvelle aquitaine,france,44.91716,-0.42859,7678
tapachula,chiapas,mexico,14.90385,-92.25749,202672
casilda,santa fe,argentina,-33.04417,-61.16806,32002
saint maur des fosses,ile de france,france,48.79395,2.49323,75402
foiano della chiana,tuscany,italy,43.25318,11.81647,6215
cleveland,mississippi,united states,33.744,-90.72482,12327
le perray en yvelines,ile de france,france,48.69441,1.85643,6206
bassi,punjab,india,31.5953,75.5717,0
greenville,michigan,united states,43.17753,-85.2528,8444
telgate,lombardy,italy,45.62792,9.84912,4720
recklinghausen,north rhine westphalia,germany,51.61379,7.19738,122438
wainwright,alberta,canada,52.83482,-110.85342,6270
heath,ohio,united states,40.02284,-82.4446,10489
sea bright,new jersey,united states,40.3615,-73.97403,1344
as salt,balqa,jordan,32.03917,35.72722,80189
belgique,missouri,united states,37.8376,-89.7812,0
angered,vastra gotaland,sweden,57.78628,12.09852,1062
hazmiye,mont liban,lebanon,33.8511,35.5414,0
hendrik ido ambacht,south holland,netherlands,51.84417,4.63889,21027
flat rock,michigan,united states,42.09643,-83.29187,9914
knottingley,england,united kingdom,53.70778,-1.25639,13804
dedemsvaart,overijssel,netherlands,52.5997,6.4583,0
riviere du loup,quebec,canada,47.82699,-69.54243,18586
corbas,auvergne rhone alpes,france,45.66798,4.90198,9753
pangkalan kerinci,riau,indonesia,0.3961,101.8572,0
hibbing,minnesota,united states,47.42715,-92.93769,16204
ave maria,florida,united states,26.3218,-81.4397,0
gurun,kedah,malaysia,5.81717,100.47381,15964
fermo,the marches,italy,43.16296,13.72274,18109
lebak,banten,indonesia,-6.33,106.7714,0
chernihiv,chernihiv,ukraine,51.50551,31.28487,307684
foligno,umbria,italy,42.95488,12.70268,47747
reichstett,grand est,france,48.64856,7.75455,5135
bushehr,bushehr,iran,28.96887,50.83657,165377
ploemeur,brittany,france,47.73512,-3.42952,20652
guara,sao paulo,brazil,-20.42833,-47.82417,18263
alvesta,kronoberg,sweden,56.89935,14.55559,8627
prince rupert,british columbia,canada,54.31507,-130.32098,14708
brooklyn,ohio,united states,41.43977,-81.73541,10899
aspropirgos,central greece,greece,38.78289,21.63968,153
south yarra,victoria,australia,-37.83834,144.99149,25237
farmsum,groningen,netherlands,53.32167,6.92639,2185
ariquemes,rondonia,brazil,-9.91333,-63.04083,58096
lugones,asturias,spain,43.40272,-5.81215,14000
kongen,baden wurttemberg,germany,48.68333,9.36667,9499
pasaje,el oro,ecuador,-3.32561,-79.80697,44860
coulsdon,england,united kingdom,51.32002,-0.14088,25500
indragiri,jawa timur,indonesia,-7.639,111.5186,0
paw paw,michigan,united states,42.21782,-85.89112,3455
san antonio de los altos,miranda,venezuela,10.38853,-66.95179,63873
caseros,buenos aires,argentina,-34.6167,-58.5333,95785
kaarina,southwest finland,finland,60.40724,22.36904,21684
kettering,ohio,united states,39.6895,-84.16883,55525
riihimaki,kanta hame,finland,60.73769,24.77726,26451
kilsyth,victoria,australia,-37.8,145.31667,10646
palos de la frontera,andalusia,spain,37.23457,-6.89471,11112
begles,nouvelle aquitaine,france,44.80759,-0.55144,23504
anzola dell emilia,emilia romagna,italy,44.54197,11.20548,8927
kyrenia,keryneia,cyprus,35.33634,33.31729,26701
ruzomberok,zilinsky kraj,slovakia,49.0748,19.30751,30806
pine brook,new jersey,united states,40.8676,-74.3439,0
bergneustadt,north rhine westphalia,germany,51.02496,7.65599,20567
antelias,mont liban,lebanon,33.915,35.5931,0
herborn,hesse,germany,50.68135,8.30369,20473
bautzen,saxony,germany,51.18035,14.43494,41972
sprimont,wallonia,belgium,50.50922,5.6595,12945
santa barbara,santa barbara,honduras,14.91944,-88.23611,15119
pierrefonds,quebec,canada,45.4667,-73.8833,0
caterham,england,united kingdom,51.2823,-0.07889,20957
campbelltown,new south wales,australia,-34.06667,150.81667,13193
hennebont,brittany,france,47.80479,-3.27812,14288
seymour,connecticut,united states,41.39676,-73.07594,16562
lambersart,hauts de france,france,50.65,3.03333,28613
la prairie,quebec,canada,45.41678,-73.49917,23357
outreau,hauts de france,france,50.70535,1.5897,15648
sainte florence,pays de la loire,france,46.79691,-1.15321,915
winterbach,baden wurttemberg,germany,48.79918,9.47914,7844
saint ismier,auvergne rhone alpes,france,45.25227,5.83073,6630
mount druitt,new south wales,australia,-33.76667,150.81667,16682
saint georges de didonne,nouvelle aquitaine,france,45.60541,-0.99968,5406
gouesnou,brittany,france,48.45297,-4.46495,6388
friville escarbotin,hauts de france,france,50.08602,1.5456,4852
rendsburg,schleswig holstein,germany,54.30663,9.66313,28323
brooklyn park,minnesota,united states,45.09413,-93.35634,79149
dinuba,california,united states,36.54328,-119.38707,23702
myslenice,lesser poland,poland,49.83383,19.9383,17686
hallbergmoos,bavaria,germany,48.32747,11.75142,8074
jaru,rondonia,brazil,-10.43889,-62.46639,28015
kasama,northern,zambia,-10.21289,31.18084,91056
rockport,maine,united states,44.18452,-69.07615,3336
san pedro,buenos aires,argentina,-33.67918,-59.66633,47452
fairmont,minnesota,united states,43.65218,-94.46108,10221
mushin,lagos,nigeria,6.528,3.3541,0
okhla,jammu and kashmir,india,32.6998,75.4976,0
lexington,tennessee,united states,35.6509,-88.39338,7822
tranas,jonkoping,sweden,58.03717,14.9782,14550
balice,lesser poland,poland,50.08799,19.79462,1200
merlo,buenos aires,argentina,-34.66627,-58.72927,244168
ponsacco,tuscany,italy,43.62307,10.62661,13683
willits,california,united states,39.40961,-123.35557,4861
fiorenzuola d arda,emilia romagna,italy,44.92435,9.91329,13207
lavaur,occitanie,france,43.69886,1.81211,10148
welshpool,wales,united kingdom,52.65973,-3.1471,5948
milford haven,wales,united kingdom,51.71278,-5.0341,13582
piriapolis,maldonado,uruguay,-34.86287,-55.27471,7968
rye,east sussex,united kingdom,50.95,0.73,9041
redwater,alberta,canada,53.9489,-113.1067,2053
kitzingen,bavaria,germany,49.73973,10.15072,21387
raalte,overijssel,netherlands,52.38583,6.275,20015
san jose del guaviare,guaviare,colombia,2.57286,-72.64591,22136
oswestry,england,united kingdom,52.86195,-3.05497,18743
vaassen,gelderland,netherlands,52.28583,5.96667,12719
roscoff,brittany,france,48.72381,-3.98709,3772
moca,moca,puerto rico,18.39467,-67.11324,4964
kampenhout,flanders,belgium,50.9421,4.55103,1538
ondo,ondo,nigeria,7.09316,4.83528,257005
uusikaupunki,southwest finland,finland,60.80043,21.40841,16226
stramproy,limburg,netherlands,51.19417,5.71944,4510
streator,illinois,united states,41.12087,-88.83535,13182
gernika lumo,basque country,spain,43.31667,-2.68333,16244
guidonia,lazio,italy,41.99232,12.71876,20943
pymble,new south wales,australia,-33.74386,151.14188,10932
aberdare,wales,united kingdom,51.71438,-3.44918,31135
exmouth,western australia,australia,-21.93063,114.12091,3692
north adams,massachusetts,united states,42.70092,-73.10871,13263
brissac quince,pays de la loire,france,47.35575,-0.44924,2531
seward,nebraska,united states,40.90695,-97.09892,7167
east harlem,new york,united states,40.79472,-73.9425,115921
rioja,san martin,peru,-6.05675,-77.16651,25057
bigfork,montana,united states,48.06329,-114.07261,4270
oud gastel,north brabant,netherlands,51.58667,4.45972,5305
corciano,umbria,italy,43.12821,12.28684,806
montesilvano marina,abruzzo,italy,42.5114,14.14507,45991
chanteloup les vignes,ile de france,france,48.97614,2.03261,9521
aretxabaleta,basque country,spain,43.03414,-2.50456,6319
la ravoire,auvergne rhone alpes,france,45.56266,5.95826,6768
kayes,kayes,mali,14.44693,-11.44448,78406
wrightsville beach,north carolina,united states,34.2085,-77.79637,2564
affoltern am albis,zurich,switzerland,47.27743,8.45128,8928
puerto gaitan,meta,colombia,4.31328,-72.08157,5928
albania,la guajira,colombia,11.16099,-72.59238,15783
montijo,extremadura,spain,38.90839,-6.61785,16236
igdir,igdir,turkey,39.9167,44.0333,137613
ogre,ogre,latvia,56.8162,24.61401,26760
new wilmington,pennsylvania,united states,41.12228,-80.33284,2233
qingyuan,guangdong,china,23.7,113.03333,1738424
sturgis,michigan,united states,41.79922,-85.41915,10896
muvattupuzha,kerala,india,9.97985,76.57381,29246
anna paulowna,noord holland,netherlands,52.85,4.8167,7380
dubrovnik,dubrovacko neretvanska,croatia,42.64125,18.10909,28428
internacional,baja california,mexico,32.4776,-117.0087,0
porto sant elpidio,the marches,italy,43.25297,13.7597,22233
duren,north rhine westphalia,germany,50.80434,6.49299,93440
noble park,victoria,australia,-37.96667,145.16667,30921
jennings,louisiana,united states,30.22243,-92.65708,10180
tricase,apulia,italy,39.93018,18.35421,13702
upper st clair,pennsylvania,united states,40.3336,-80.0842,19737
st joseph,michigan,united states,42.0967,-86.485,8317
ardmore,oklahoma,united states,34.17426,-97.14363,25176
penjamo,guanajuato,mexico,20.43108,-101.72261,40070
laoag,ilocos,philippines,18.1978,120.5957,102105
franklin,virginia,united states,36.67765,-76.92246,8490
san ramon,alajuela,costa rica,10.08802,-84.47022,10765
eaton rapids,michigan,united states,42.5092,-84.65581,5225
rosslyn,queensland,australia,-23.16613,150.77834,574
mandelieu la napoule,provence alpes cote d azur,france,43.54577,6.93734,19292
hirson,hauts de france,france,49.92262,4.08259,11133
le port,reunion,reunion,-20.93752,55.29415,40771
warren,rhode island,united states,41.73038,-71.28255,11280
bowral,new south wales,australia,-34.4775,150.4204,10240
jessup,pennsylvania,united states,41.46869,-75.56213,4495
mendon,massachusetts,united states,42.10565,-71.55229,5378
inzago,lombardy,italy,45.53991,9.48343,7973
bailly romainvilliers,ile de france,france,48.84729,2.82352,3692
mardan,khyber pakhtunkhwa,pakistan,34.19794,72.04965,300424
thatcham,england,united kingdom,51.40366,-1.26049,24274
iwo,osun,nigeria,7.63527,4.18156,250443
trossingen,baden wurttemberg,germany,48.07667,8.64409,15040
idron,nouvelle aquitaine,france,43.28935,-0.31199,3439
meinerzhagen,north rhine westphalia,germany,51.1074,7.64838,21982
pilani,rajasthan,india,28.36725,75.60352,28149
recanati,the marches,italy,43.40381,13.55379,14337
balk,friesland,netherlands,52.89756,5.57964,3915
maløv,capital region,denmark,55.75528,12.32327,8797
beaurepaire,auvergne rhone alpes,france,45.33658,5.04878,4213
hamah,hama,syria,35.13179,36.75783,460602
balcatta,western australia,australia,-31.87501,115.82839,10192
devoto,cordoba,argentina,-31.40431,-62.30634,5597
modasa,gujarat,india,23.46253,73.29857,58970
linwood,scotland,united kingdom,55.84834,-4.49337,8590
