city,state,country,latitude,longitude,population
broadway,england,united kingdom,52.03825,-1.86079,2540
valdese,north carolina,united states,35.74069,-81.56315,4459
landen,flanders,belgium,50.75267,5.082,14458
tuscola,illinois,united states,39.7992,-88.2831,4443
sai kung,sai kung,china,22.38333,114.26667,35800
kimbe,west new britain,papua new guinea,-5.55085,150.13766,18847
catterick,england,united kingdom,54.37542,-1.63328,3155
bank,north rhine westphalia,germany,50.8294,6.0697,0
factoria,eastern samar,philippines,12.083,125.4688,0
carrington,new south wales,australia,-32.66667,152.01667,25
menands,new york,united states,42.69202,-73.72456,3998
middletown,virginia,united states,39.02761,-78.28056,1315
littlestown,pennsylvania,united states,39.74454,-77.08804,4478
bushnell,florida,united states,28.66499,-82.11286,2995
ararat,ararat,armenia,39.83069,44.70569,28832
el carmen,nuevo leon,mexico,24.61649,-100.49271,74
sanlucar la mayor,andalusia,spain,37.38758,-6.20346,12749
sirnach,thurgau,switzerland,47.46222,8.99763,6463
koh tao,surat thani,thailand,10.09808,99.83809,1382
whetstone,leicestershire,united kingdom,52.5724,-1.1799,6556
acambaro,guanajuato,mexico,20.03085,-100.72194,57972
ballston,virginia,united states,38.8801,-77.1139,0
readfield,maine,united states,44.38785,-69.96672,2454
santaluz,bahia,brazil,-11.25583,-39.37472,24739
tottenham,ontario,canada,44.02437,-79.80553,5143
roaring spring,pennsylvania,united states,40.33591,-78.39085,2537
adma,mont liban,lebanon,34.0228,35.6419,0
holloman afb,new mexico,united states,32.8483,-106.0998,4096
purwodadi,central java,indonesia,-7.0868,110.9158,150206
los cortijos,chihuahua,mexico,25.90912,-107.25207,36
malvik,trøndelag,norway,63.43333,10.68333,6419
sanepa,banten,indonesia,-6.3106,106.3083,0
cisterna,campania,italy,41.19201,14.27772,88
jægerspris,capital region,denmark,55.85248,11.98565,4043
mojacar,andalusia,spain,37.1402,-1.85102,5154
koudekerke,zeeland,netherlands,51.48167,3.55417,2880
vlezenbeek,flanders,belgium,50.80778,4.23197,3377
gravellona toce,piedmont,italy,45.92859,8.43209,7077
hoegaarden,flanders,belgium,50.7756,4.88952,3226
ilupeju,ekiti,nigeria,7.5687,5.406,0
st pauls,mzimba,malawi,-11.8922,33.6067,0
manurewa,auckland,new zealand,-37.0182,174.88019,19236
westville,new jersey,united states,39.86789,-75.13156,4224
homebase,sulawesi tenggara,indonesia,-4.0282,122.4918,0
slavkov u brna,south moravian,czechia,49.15325,16.87649,5936
linne,limburg,netherlands,51.155,5.93889,3645
mumba,nord kivu,congo,-1.4558,28.8836,0
les gets,auvergne rhone alpes,france,46.15522,6.66492,1331
moncure,north carolina,united states,35.62265,-79.07835,711
pleasant,pennsylvania,united states,41.7982,-79.2032,2321
byfield,massachusetts,united states,42.7598,-70.9481,0
kingston,new hampshire,united states,42.93648,-71.05339,6225
warren,vermont,united states,44.111,-72.8608,1649
jackson,minnesota,united states,43.62079,-94.9886,3234
govan,glasgow city,united kingdom,55.8615,-4.3083,5860
thousand palms,california,united states,33.82002,-116.39029,7715
borden,england,united kingdom,51.33426,0.70038,741
dargaville,northland,new zealand,-35.93333,173.88333,4950
reghaia,algiers,algeria,36.73587,3.34018,54962
donnybrook,leinster,ireland,53.31375,-6.22274,10645
scarborough,queensland,australia,-27.20118,153.10939,8605
woodville,leicestershire,united kingdom,52.769,-1.533,5161
tybee island,georgia,united states,32.00022,-80.84567,3102
malmesbury,wiltshire,united kingdom,51.584,-2.098,5380
kromeriz,zlin,czechia,49.29785,17.39312,29126
betheny,grand est,france,49.28498,4.05495,6002
steinach,baden wurttemberg,germany,48.3,8.05,3924
eveleth,minnesota,united states,47.46243,-92.53991,3673
ruschlikon,zurich,switzerland,47.30688,8.55135,4653
riverton,southland,new zealand,-46.35,168.01667,1431
muurame,central finland,finland,62.13333,25.66667,8826
souillac,savanne,mauritius,-20.51667,57.51667,4392
general,cebu,philippines,10.6296,124.447,0
stabekk,oslo,norway,59.9075,10.6056,0
sylvia park,california,united states,34.115,-118.5818,0
silvi,abruzzo,italy,42.54984,14.11759,12551
slupsk,pomorskie,poland,54.4667,17.0333,0
bladensburg,maryland,united states,38.93928,-76.93386,9640
frenkendorf,basel landschaft,switzerland,47.50686,7.71648,6180
romans,auvergne rhone alpes,france,46.1198,5.02486,577
brady,texas,united states,31.13517,-99.33506,5549
lexington,ohio,united states,40.67867,-82.58239,4731
rijkevoort,noord brabant,netherlands,51.6572,5.8827,0
shenton park,western australia,australia,-31.95575,115.79807,4507
virovitica,virovitick podravska,croatia,45.83194,17.38389,15665
blue earth,minnesota,united states,43.63746,-94.10218,3236
hunt,texas,united states,30.0708,-99.3378,0
etretat,normandy,france,49.70669,0.20523,1658
marstrand,vastra gotaland,sweden,57.88699,11.58218,381
rialto,leinster,ireland,53.33625,-6.29718,3652
noci,apulia,italy,40.79356,17.12681,15383
andersen afb,chungnam,guam,13.5637,144.926,0
jørpeland,rogaland,norway,59.02251,6.04078,5537
dottikon,aargau,switzerland,47.38437,8.23981,3125
laitila,southwest finland,finland,60.87575,21.69765,8403
mardyck,hauts de france,france,51.0194,2.2506,317
marcy,new york,united states,43.1732,-75.2662,9465
neratovice,central bohemia,czechia,50.25926,14.51759,16427
beauharnois,quebec,canada,45.31341,-73.8725,11918
sidney,new york,united states,42.3148,-75.39157,3755
